"","Ingredients","America","Asia","Austria","Bangladesh","Belgium","Canada","Caribbean","China","East Asia","East Africa","Eastern Europe","France","Germany","India","Indonesia","Iran","Israel","Italy","Japan","Korea","Lebanon","Malaysia","Mexico","Netherlands","North Africa","Pakistan","Philippines","Portugal","Scandinavia","South Africa","South Africa","Spain","Switzerland","Thailand","Turkey","UK and Ireland","Vietnam","West Africa","Western"
"1","Other",0.0409817416529208,0.235294117647059,0,0,0,0.0736434108527132,0.087431693989071,0.708333333333333,0.0909090909090909,0.503680336487907,0.00851063829787234,0.00746268656716418,0.00843881856540084,0.0154320987654321,0.5,0,0,0.00456026058631922,0.53804347826087,0.493116395494368,0,0.111111111111111,0.0152714932126697,0.03125,0.0166666666666667,0,0.441860465116279,0,0,0,0.029126213592233,0,0,0.44,0,0.00709219858156028,0.3,0,0.0488888888888889
"2","Vegetables",0.841960070530686,1.23529411764706,0.952380952380952,0.5,1.09090909090909,0.842377260981912,1.12021857923497,1.58796296296296,0.454545454545454,1.16508937960042,0.693617021276596,1.02985074626866,0.983122362869199,1.04012345679012,1.16666666666667,1,0.666666666666666,0.634527687296417,1.46739130434783,1.04255319148936,1.45161290322581,0.944444444444444,0.618212669683258,0.625,1.06666666666667,0.736842105263157,0.744186046511628,0.82,0.658227848101266,1.6875,0.805825242718447,1.21333333333333,1.1,1.568,0.1875,0.641843971631205,1.13333333333333,0.76923076923077,1.05333333333333
"3","Spices",0.734656731698993,0.823529411764706,1.04761904761905,0.5,1.27272727272727,0.728682170542635,0.355191256830601,0.425925925925926,0.636363636363637,0.555205047318612,0.940425531914893,0.746268656716418,0.957805907172996,0.382716049382716,0.5,0.238095238095238,0.777777777777778,0.846254071661238,0.815217391304348,0.568210262828536,0.774193548387096,0.388888888888889,0.476244343891403,1.15625,0.533333333333333,0.421052631578948,0.674418604651163,0.58,1.05063291139241,0.5,0.349514563106796,0.386666666666667,1,0.48,0.8125,0.882978723404255,0.6,0.461538461538462,0.76
"4","Sauces",1.86772652295091,4.11764705882353,0.714285714285714,4.5,1.36363636363636,2.15116279069768,3.30054644808743,3.41666666666667,3,3.36172450052576,2.36595744680851,1.64925373134328,1.40928270042194,3.69753086419753,3.16666666666667,2.23809523809524,0.888888888888888,2.95439739413681,2.53260869565217,3.33166458072591,2.54838709677419,3.05555555555556,4.49264705882353,0.65625,4.1,5.10526315789474,2.74418604651163,2.92,0.708860759493671,1.6875,2.60194174757281,3.82666666666667,1.35,3.576,3.125,1.62056737588652,3.73333333333333,4.30769230769231,2.26444444444444
"5","Protein",0.512854786417155,0.823529411764705,0.523809523809524,0,0.363636363636364,0.435400516795865,0.715846994535519,0.203703703703704,0.272727272727273,0.124079915878023,0.391489361702128,0.261194029850746,0.489451476793249,0.487654320987654,0.333333333333334,0.285714285714286,0.888888888888888,0.155048859934854,0.168478260869565,0.126408010012516,0.193548387096774,0.88888888888889,0.221153846153846,0.625,0.616666666666666,0.315789473684211,0.302325581395349,0.2,0.373417721518987,0.5,0.427184466019417,0.626666666666667,0.55,0.8,0.125,0.542553191489362,0.433333333333334,0.230769230769231,0.502222222222222
"6","Oil",0.70448211137023,2.11764705882353,0.142857142857143,1,1.09090909090909,0.772609819121447,1.14754098360656,2.15277777777778,0.454545454545455,1.98317560462671,0.736170212765957,0.682835820895522,0.624472573839662,0.620370370370371,1.25,0.476190476190476,0.555555555555555,0.808469055374593,1.47282608695652,2.02252816020025,0.451612903225806,1.16666666666667,1.11538461538462,0.46875,0.933333333333334,0.789473684210526,1.44186046511628,1.04,0.335443037974683,0.8125,0.611650485436892,1.24,0.2,2.072,0.6875,0.663120567375887,2.23333333333333,0.76923076923077,0.657777777777778
"7","Grains",0.393891132472556,0.352941176470588,0.142857142857143,1,0.181818181818182,0.437984496124031,0.66120218579235,0.972222222222222,0.363636363636364,0.711882229232388,0.378723404255319,0.358208955223881,0.299578059071729,0.635802469135802,1.08333333333333,0.476190476190476,0.555555555555555,0.679478827361564,0.543478260869565,0.719649561952441,0.935483870967742,0.777777777777777,0.464932126696833,0.28125,0.85,0.789473684210526,0.58139534883721,0.54,0.139240506329114,0.375,0.553398058252427,0.72,0.15,0.664,0.4375,0.333333333333334,0.6,0.76923076923077,0.468888888888888
"8","Fruits",1.09666685626529,1.58823529411765,0.904761904761905,3.5,1.18181818181818,1.12919896640827,1.25136612021858,0.328703703703704,1.18181818181818,0.200841219768665,0.74468085106383,1.15298507462687,1.11814345991561,2.58333333333333,1,1.42857142857143,1.33333333333333,1.53485342019544,0.353260869565218,0.167709637046308,1.35483870967742,2.33333333333333,1.03619909502262,0.96875,2.05,2.78947368421053,0.418604651162791,0.54,0.80379746835443,1.75,0.932038834951455,1.06666666666667,0.7,2.144,0.625,0.836879432624114,1.66666666666667,1.53846153846154,0.653333333333333
"9","Dairy",1.62652863887151,0.411764705882352,2.33333333333333,0,1.81818181818182,1.47286821705426,0.562841530054645,0.453703703703703,0.363636363636364,0.26813880126183,1.76170212765958,1.94029850746269,1.70042194092827,0.777777777777778,0.75,0.619047619047619,1.11111111111111,1.72703583061889,0.608695652173913,0.219023779724656,0.32258064516129,0.666666666666667,1.19626696832579,2.09375,0.650000000000001,0.736842105263158,0.767441860465117,0.96,1.92405063291139,1.1875,1.06796116504854,0.506666666666667,1.9,0.272,1.4375,1.80851063829787,0.1,0.153846153846154,1.71333333333333
